kind	name	value_a	value_b	status	note
metric	成交额	18642	+18.6%	领先	目标 22000
metric	支付订单	327	+12.1%	正常	客单价 57.0
metric	访客	4860	+9.8%	正常	支付转化 6.7%
metric	推广消耗	1268	ROI 4.3	稳健	成交 5452
product	轻量通勤双肩包	86	42.8%	上升	库存 34
product	防晒冰袖两双装	72	38.5%	持平	库存 126
product	折叠晴雨伞	61	31.2%	下降	库存 18
product	旅行收纳六件套	48	29.4%	上升	库存 52
campaign	新品加速	486	5.8	建议加投	预算余 714
campaign	智能拉新	532	4.1	稳定	预算余 468
campaign	老客复购	250	2.9	建议观察	预算余 350
task	折叠晴雨伞库存偏低	补货	高	待处理	预计 1.8 天售罄
task	3 笔订单即将超时	发货	高	待处理	最早剩 38 分钟
task	通勤包搜索转化上涨	加投	中	待处理	建议预算 +15%
task	2 笔退款等待响应	售后	中	待处理	最早剩 3 小时
