id	era	title	year	start	end	capital	points
xia	ancient	夏	前2070	约前2070年	约前1600年	阳城	史书年表常从这里起头。|都城说法不一，常见阳城。|后面商周留下的材料更扎实。
shang	ancient	商	前1600	约前1600年	前1046年	殷	后期都城在殷，今安阳一带。|留下许多甲骨文字。|后来被周人取代。
western_zhou	ancient	西周	前1046	前1046年	前771年	镐京	都城镐京，在关中。|把土地和人分给亲戚功臣。|前771年镐京被攻破。
spring_autumn	ancient	春秋	前770	前770年	前476年	洛邑	周王迁到洛邑，号令变弱。|齐晋楚等大国轮流争霸。|孔子就生活在这个时候。
warring	ancient	战国	前475	前475年	前221年		只剩几个大国连年打仗。|各国变法，秦走得最远。|最后秦把东方六国灭掉。
qin	qinhan	秦	前221	前221年	前207年	咸阳	前221年第一次打下大一统。|书同文、车同轨，又修驰道。|二世而亡，前后十几年。
western_han	qinhan	西汉	前202	前202年	公元8年	长安	都城长安。|先休息生产，后来开通西域。|武帝以后中央更强。
eastern_han	qinhan	东汉	25	公元25年	220年	洛阳	都城洛阳。|外戚和宦官轮流掌权。|黄巾以后，州郡自己带兵。
three_kingdoms	qinhan	三国	220	220年	280年		魏蜀吴三分，都自称正统。|赤壁之后南北僵持很久。|司马氏代魏，再灭蜀吴。
western_jin	qinhan	西晋	266	266年	316年	洛阳	都城洛阳，短暂统一。|分封宗室，后来打起内仗。|北方大乱，士人南迁。
eastern_jin	qinhan	东晋	317	317年	420年	建康	都城建康，后来的南京。|靠南迁士族撑着。|北伐几次，都没能长久。
north_south	qinhan	南北朝	420	420年	589年		南方宋齐梁陈，北方北魏等。|北魏后来分成东西。|最后隋从北方统一。
sui	suitang	隋	581	581年	618年	大兴	都城大兴，是长安的新规划。|修大运河，沟通南北。|二世而亡，制度却留下了。
tang	suitang	唐	618	618年	907年	长安	都城长安，极盛时很开放。|科举、均田和律令是常用词。|安史之乱后藩镇难收。
five_dynasties	suitang	五代十国	907	907年	960年		黄河流域换了五个短命朝廷。|南方同时有好几个政权。|陈桥兵变后，宋朝开场。
liao	songyuan	辽	916	916年	1125年	上京	契丹在北方立国，都上京。|和北宋订立澶渊之盟。|后来被金灭亡。
northern_song	songyuan	北宋	960	960年	1127年	开封	都城开封。|收回兵权，多用文官。|靖康之变后丢掉北方。
jin	songyuan	金	1115	1115年	1234年	中都	女真兴起，灭辽又攻宋。|都城后来迁到中都。|蒙古南下后灭亡。
southern_song	songyuan	南宋	1127	1127年	1279年	临安	都城临安，今杭州。|守淮守江，和金、蒙古周旋。|崖山之后结束。
yuan	songyuan	元	1271	1271年	1368年	大都	都城大都。|行省把很远的地方串起来。|不到百年，被明取代。
ming	mingqing	明	1368	1368年	1644年	北京	先南京，后迁北京。|废丞相，内阁办事。|李自成进京后，清军入关。
qing	mingqing	清	1644	1644年	1912年	北京	都城北京。|康雍乾把疆域大体稳定下来。|鸦片战争后进入近代。
opium_war	modern	鸦片战争	1840	1840年	1842年		1840年开战，1842年签约。|开放五个口岸。|香港岛在条约里被割让。
self_strengthen	modern	洋务运动	1861	约1861年	1895年		一批官员主张学技术。|办厂矿、学堂和船队。|甲午战败后，这条路走不下去。
jiawu	modern	甲午战争	1894	1894年	1895年		1894年开打，次年签约。|北洋海军覆没。|台湾在条约里被割让。
wuxu	modern	戊戌变法	1898	1898年	1898年		1898年夏天开始。|只维持了约一百天。|随后政变，新政停止。
xinhai	modern	辛亥革命	1911	1911年	1912年		1911年武昌先动。|次年清帝退位。|帝制在形式上结束。
may_fourth	modern	五四运动	1919	1919年	1919年		1919年五月在北京。|由外交会议的结果引起。|学生罢课，商店跟着罢市。
resistance	modern	抗日战争	1937	1937年	1945年		通常从1937年算全面开战。|1945年日本投降。|前后打了八年。
prc	modern	新中国成立	1949	1949年	1949年	北京	1949年10月1日开国。|首都定在北京。|新的国家政权开始运转。
