z	symbol	name	mass	group_col	period_row	valence	note	shells
1	H	氢	1.008	1	1	+1	水、酸和有机物都离不开它。	1
2	He	氦	4.003	18	1	0	最轻的稀有气体，气球里常见。	2
3	Li	锂	6.94	1	2	+1	最轻的金属，电池里会见到。	2,1
4	Be	铍	9.012	2	2	+2	合金和窗口材料里的轻金属。	2,2
5	B	硼	10.81	13	2	+3	玻璃和洗涤剂里常见。	2,3
6	C	碳	12.01	14	2	+4/-4	有机物的骨架。	2,4
7	N	氮	14.01	15	2	-3	空气的主体之一，蛋白质需要它。	2,5
8	O	氧	16	16	2	-2	呼吸和燃烧都靠它。	2,6
9	F	氟	19	17	2	-1	最活泼的非金属之一，牙膏里的氟。	2,7
10	Ne	氖	20.18	18	2	0	广告灯管里的稀有气体。	2,8
11	Na	钠	22.99	1	3	+1	食盐里的金属元素。	2,8,1
12	Mg	镁	24.31	2	3	+2	叶绿素和轻合金都需要它。	2,8,2
13	Al	铝	26.98	13	3	+3	最常见的地壳金属之一。	2,8,3
14	Si	硅	28.09	14	3	+4/-4	半导体和沙子的主角。	2,8,4
15	P	磷	30.97	15	3	-3	肥料和核酸都少不了。	2,8,5
16	S	硫	32.06	16	3	-2	蛋白质里的黄族元素。	2,8,6
17	Cl	氯	35.45	17	3	-1	消毒和食盐里的卤素。	2,8,7
18	Ar	氩	39.95	18	3	0	空气中的稀有气体。	2,8,8
19	K	钾	39.1	1	4	+1	细胞渗透压里的钾离子。	2,8,8,1
20	Ca	钙	40.08	2	4	+2	骨骼和硬水里的钙。	2,8,8,2
21	Sc	钪	44.96	3	4	-	高中少考，仅作定位。	
22	Ti	钛	47.87	4	4	-	高中少考，仅作定位。	
23	V	钒	50.94	5	4	-	高中少考，仅作定位。	
24	Cr	铬	52	6	4	+3/+6	不锈钢和重铬酸盐里的铬。	
25	Mn	锰	54.94	7	4	+2/+7	高锰酸钾里的锰。	
26	Fe	铁	55.85	8	4	+2/+3	最常用的结构金属。	
27	Co	钴	58.93	9	4	-	高中少考，仅作定位。	
28	Ni	镍	58.69	10	4	+2	不锈钢和电镀里常见。	
29	Cu	铜	63.55	11	4	+1/+2	导线和青铜里的铜。	
30	Zn	锌	65.38	12	4	+2	镀层和干电池里的锌。	
31	Ga	镓	69.72	13	4	-	高中少考，仅作定位。	
32	Ge	锗	72.63	14	4	-	高中少考，仅作定位。	
33	As	砷	74.92	15	4	-	高中少考，仅作定位。	
34	Se	硒	78.97	16	4	-	高中少考，仅作定位。	
35	Br	溴	79.9	17	4	-1	常温下呈液态的卤素。	
36	Kr	氪	83.8	18	4	-	高中少考，仅作定位。	
37	Rb	铷	85.47	1	5	-	高中少考，仅作定位。	
38	Sr	锶	87.62	2	5	+2	焰色反应里带洋红色。	
39	Y	钇	88.91	3	5	-	高中少考，仅作定位。	
40	Zr	锆	91.22	4	5	-	高中少考，仅作定位。	
41	Nb	铌	92.91	5	5	-	高中少考，仅作定位。	
42	Mo	钼	95.95	6	5	-	高中少考，仅作定位。	
43	Tc	锝	98	7	5	-	高中少考，仅作定位。	
44	Ru	钌	101.1	8	5	-	高中少考，仅作定位。	
45	Rh	铑	102.9	9	5	-	高中少考，仅作定位。	
46	Pd	钯	106.4	10	5	-	高中少考，仅作定位。	
47	Ag	银	107.9	11	5	+1	导电最好的常见金属之一。	
48	Cd	镉	112.4	12	5	-	高中少考，仅作定位。	
49	In	铟	114.8	13	5	-	高中少考，仅作定位。	
50	Sn	锡	118.7	14	5	-	高中少考，仅作定位。	
51	Sb	锑	121.8	15	5	-	高中少考，仅作定位。	
52	Te	碲	127.6	16	5	-	高中少考，仅作定位。	
53	I	碘	126.9	17	5	-1	甲状腺和碘酒。	
54	Xe	氙	131.3	18	5	-	高中少考，仅作定位。	
55	Cs	铯	132.9	1	6	-	高中少考，仅作定位。	
56	Ba	钡	137.3	2	6	+2	焰色黄绿，硫酸钡很难溶。	
57	La	镧	138.9	3	9	-	高中少考，仅作定位。	
58	Ce	铈	140.1	4	9	-	高中少考，仅作定位。	
59	Pr	镨	140.9	5	9	-	高中少考，仅作定位。	
60	Nd	钕	144.2	6	9	-	高中少考，仅作定位。	
61	Pm	钷	145	7	9	-	高中少考，仅作定位。	
62	Sm	钐	150.4	8	9	-	高中少考，仅作定位。	
