id	title	blurb	parts
animal	动物细胞	没有细胞壁，外形更灵活	细胞膜|把内外分开，控制进出|细胞质|多数代谢反应在这里进行|细胞核|遗传信息的控制中心|线粒体|把有机物里的化学能转出来|核糖体|按核酸指令组装蛋白质
plant	植物细胞	有细胞壁、叶绿体和中央大液泡	细胞壁|撑住外形，免得吸水胀破|细胞膜|紧贴壁内侧，管物质进出|中央液泡|储水和溶质，维持膨压|叶绿体|把光能收进有机物|细胞核|管遗传和细胞分裂|线粒体|有光无光都能供能
mito	线粒体	有氧呼吸的主要场所	外膜|把细胞质和内部隔开|内膜|向内折叠成嵴，加大面积|嵴|呼吸链酶主要铺在这里|基质|柠檬酸循环发生的地方|环状DNA|少量自己的遗传信息
chloro	叶绿体	光合作用的场所	外膜|双层膜的外层|内膜|双层膜的内层|类囊体|膜囊吸收光能|基粒|许多类囊体叠成一摞|基质|暗反应固定二氧化碳
nucleus	细胞核	遗传信息的控制中心	核膜|双层膜，上有核孔|核孔|RNA 和蛋白质进出的门|染色质|DNA 和蛋白质松散缠在一起|核仁|装配核糖体亚基|核质|核内的液态环境
chrom	染色体与 DNA	遗传物质一层层收起来	DNA 双链|两条互补链拧成螺旋|组蛋白|DNA 先绕在它上面|染色质纤维|再一级一级折叠加粗|着丝粒|两臂相连、纺锤丝抓住的地方|姐妹染色单体|复制后还连在一起的两臂
membrane	细胞膜磷脂	流动镶嵌的双分子层	亲水头|朝向膜两侧的水环境|疏水尾|朝向膜中间，互不相溶|磷脂双层|膜的基本骨架|镶嵌蛋白|运输、识别或催化|糖链|朝向外侧，参与识别
neuron	神经细胞	接收并传导兴奋	树突|接收邻近细胞传来的信号|胞体|整合信号、维持代谢|轴突|把兴奋送到远处|髓鞘|绝缘并加快传导|轴突末梢|把信号交给下一个细胞
blood	血液细胞	三种有形成分对照着看	红细胞|无核、主要运氧气|白细胞|有核、参与防御|血小板|细胞碎片，参与止血|血浆|液体部分，运养分和废物
prophase	有丝分裂前期	染色质螺旋成染色体，核膜解体	染色体|染色质缩短变粗|核膜|逐渐解体消失|中心体|移向两极，发出纺锤丝|纺锤丝|开始伸向染色体
metaphase	有丝分裂中期	染色体排列在赤道板	赤道板|细胞中央的虚拟平面|着丝粒|被纺锤丝从两极拉住|染色体|形态最清楚，便于观察|纺锤体|从两极拉住全部染色体
anaphase	有丝分裂后期	着丝粒分裂，姐妹染色单体分开	着丝粒|分裂成两份|子染色体|被拉向两极|纺锤丝|缩短，把染色体拉开|细胞两极|即将成为两个子核
