id	title	claim	steps
gravity	重力	地球拉物体，力竖直向下。	先画出桌面上的物块|从物块中心往下画力|箭头竖直朝下指向地面|这就是地球对物块的拉力
normal	支持力	桌面顶着物块，力竖直向上。	先画出桌面和物块|接触面被压着|支持力从接触面竖直向上
two_balance	二力平衡	两个力等大反向，物块就不动。	先画出竖直向下的重力|再画出竖直向上的支持力|两力等长反向，叠在一条直线上
friction	滑动摩擦	相对滑动时，摩擦总跟滑动反向。	先给物块一个向右的拉力|接触面要发生滑动|摩擦力贴着接触面，指向左边
tension	绳子拉力	绳子只能拉，不能推。	先画出天花板上的绳子|拉力沿着绳子向上|物块自己的重力仍竖直向下
incline	斜面分解	斜面上，重力拆成贴面和压面两份。	先画出竖直向下的重力|垂直斜面的一份把物块压向斜面|沿斜面的一份让物块往下滑
newton3	作用反作用	你推墙，墙也以同样大小推你。	左边物块向右推|右边物块同时向左推|两力等大反向，分别作用在两个物体上
spring	弹簧弹力	弹簧被拉长或压短，弹力沿轴线。	先画出墙和弹簧|弹力沿着弹簧的轴线|物块被弹簧拉回去或推开
pulley	定滑轮	定滑轮只改方向，不省力。	先画出定滑轮|左边绳子的拉力沿绳向上|右边绳子的拉力同样大，方向改了
centripetal	向心力	做圆周，向心力始终指向圆心。	先画出圆周轨迹|物块在圆周上|向心力从物块指向圆心
buoyancy	浮力	浸在液体里，浮力竖直向上。	先画出液面和浸入的物块|浮力从物块中心竖直向上|重力仍竖直向下
lever	杠杆	谁离支点远，谁更容易撬动。	先标出支点|左边的力往下按|右边的力也往下，离支点更远
series	串联电路	串联时，电流只有一条路。	先画出电源|再画出第一只电阻|第二只电阻接在同一条回路上|电流沿回路走同一圈
parallel	并联电路	并联时，电流在节点处分叉。	先画出电源|上路是一只电阻|下路是另一只电阻|电流在节点分成两路
ohm	欧姆定律	电阻越大，同样电压下电流越小。	电源两端有电压|回路里有电流|电阻卡在回路中间，挡住一部分电流
