id	title	claim	steps
pythagoras	勾股定理	直角边的平方加起来，等于斜边的平方。	先确认 A 是直角|直角边是 AC 和 AB|斜边是对着直角的 BC|两直角边平方和等于斜边平方
inscribed	圆周角定理	同一段弧上，圆周角是圆心角的一半。	先标出同一段弧 AB|圆心角 AOB 顶在圆心|圆周角 APB 顶在圆周|圆心角是圆周角的两倍
similar	相似三角形	对应角相等、对应边成比例，就相似。	角 A 对应对角 D，角 B 对应角 E|对应边 AB 和 DE 成比例|对应的高也是同一比例
parallelogram	平行四边形	对边平行，则对边相等、对角相等。	对边 AB 平行 DC|对边 AD 平行 BC|对角线 AC、BD 互相平分
special_right	特殊直角三角形	30 度所对的直角边，等于斜边一半。	先画出 A 处的直角|角 B 是 30 度，角 C 是 60 度|最短边 AC 对着 30 度|AC 等于斜边 BC 的一半
tangent	圆的切线	切线垂直于过切点的半径。	先画圆 O 和这条切线|切点只有 T 一个|半径 OT 连到切点|OT 垂直于这条切线
vertical	对顶角	两条直线相交，对顶角相等。	画出交于 O 的两条直线|角 AOC 与角 BOD 是对顶角|这两个对顶角相等
angle_sum	三角形内角和	三个内角加起来是 180 度。	画出任意三角形 ABC|三个内角拼起来是平角|所以内角和是 180 度
isosceles	等腰三角形	等腰则底角相等，顶角平分线平分底边。	两腰 CA 等于 CB|两底角 A 等于 B|平分线 CM 同时平分底边
midline	三角形中位线	中位线平行于第三边，并且是它的一半。	先取 CA、CB 的中点 M、N|连 MN 就是中位线|MN 平行于底边 AB|MN 等于 AB 的一半
thales	直径所对圆周角	直径所对的圆周角是直角。	先画直径 AB|再在圆上取一点 P|连成三角形 ABP|角 APB 就是直角
exterior	外角定理	外角等于不相邻的两个内角之和。	延长 AB 到 D 得到外角|外角与邻内角 ABC 互补|外角等于角 A 加角 C
corresponding	平行线同位角	同位角相等，这两条直线就平行。	先画截线 EF|标出位置相同的两个同位角|同位角相等则两直线平行
rectangle	矩形对角线	矩形的对角线相等，并且互相平分。	先画出矩形 ABCD|连对角线 AC 和 BD|两条对角线一样长|交点 O 是各自中点
circle_chord	垂直平分弦	过圆心且垂直于弦的线，平分这条弦。	从圆心 O 向弦 AB 作垂线|垂足 M 就是弦的中点|AM 等于 MB
altitude	直角三角形斜边中线	斜边上的中线，等于斜边的一半。	先找到斜边 AB 的中点 M|连到直角顶点 C|中线 CM 等于斜边一半
