psychological	adj.	/ˌsaɪkəˈlɑːdʒɪkl/	心理的	He needs psychological help.	3	3851	3801
unrealistic	adj.	/ˌʌnriːəˈlɪstɪk/	不现实的	That's an unrealistic goal.	2	0	3802
imperative	n./adj.	/ɪmˈperətɪv/	必须的,必要的；必要的；紧急的，极重要的	It is imperative to act now.	2	0	3803
bitterness	n.	/ˈbɪtərnəs/	苦味，辛酸，苦难	There was bitterness in his voice.	2	0	3804
likeness	n.	/ˈlaɪknəs/	同样；类似，相似	The portrait has a strong likeness to her.	2	0	3805
plausible	adj.	/ˈplɔːzəbl/	似有道理的，似乎正确的，貌似可信的	That's a plausible explanation.	2	0	3806
predominant	adj.	/prɪˈdɒmɪnənt/	占优势的；主要的；占主导地位的，显著的	English is the predominant language.	2	0	3807
complicated	adj.	/ˈkɑːmplɪkeɪtɪd/	复杂的；复杂的，难懂的	The instructions were very complicated.	3	4446	3808
supersonic	adj.	/ˌsuːpərˈsɒnɪk/	超声的，超声速的；超声的，超音速的	The jet flew at supersonic speed.	2	0	3809
predestine	vt.	/ˌpriːˈdestɪn/	预先确定；注定	Do you believe our lives are predestined?	2	0	3810
optical	adj.	/ˈɒptɪkəl/	光的；光学的；眼的，视觉的	Optical illusions can trick your eyes.	3	4192	3811
commonwealth	n.	/ˈkɒmənˌwelθ/	联邦；[C-]英联邦；联邦，联合体	Australia is a member of the Commonwealth.	2	0	3812
subjective	adj.	/səbˈdʒektɪv/	主观的，个人的	Beauty is subjective.	2	0	3813
mountainous	adj.	/ˈmaʊntənəs/	多山的；山一般的	The country is very mountainous.	2	0	3814
southwards	adv.	/ˈsaʊθwərdz/	向南方	They traveled southwards during the winter.	2	0	3815
aspiration	n.	/ˌæspəˈreɪʃən/	强烈的愿望；志向，抱负	He has high aspirations.	2	0	3816
appropriation	n.	/əˌproʊpriˈeɪʃən/	挪用；据为己有，占有；拨款	The appropriation of funds was approved.	2	0	3817
edible	adj.	/ˈedɪbəl/	可以吃的，可食用的	Are these berries edible?	2	0	3818
mechanical	adj.	/məˈkænɪkl/	机械的，机械制造的，机械学的，力学的；呆板的	The clock has a mechanical movement.	3	4426	3819
inhabitant	n.	/ɪnˈhæbɪtənt/	居民，住户	He is a long-time inhabitant of the city.	3	4311	3820
luxurious	adj.	/lʌɡˈʒʊriəs/	奢侈的，豪华的；爱好奢侈的，豪华的	They live in a luxurious apartment.	2	0	3821
concentrate	n./v.	/ˈkɑːnsəntreɪt/	浓缩，提浓；全神贯注，全力以赴；集中，聚集	I need to concentrate on my work.	3	4036	3822
elliptical	adj.	/ɪˈlɪptɪkəl/	椭圆的；省略的	The orbit of the Earth is elliptical.	2	0	3823
interpersonal	adj.	/ˌɪntərˈpɜːrsənəl/	人与人之间的，关于人与人之间关系的	He has good interpersonal skills.	2	0	3824
economical	adj.	/ˌiːkəˈnɑːmɪkəl/	节约的；经济学的	This car is very economical.	3	4454	3825
mysteriously	adv.	/mɪˈstɪriəsli/	神秘地	The door opened mysteriously.	2	0	3826
collective	adj.	/kəˈlɛktɪv/	共同的	We made a collective decision.	3	4008	3827
progressive	adj.	/prəˈɡresɪv/	前进的；渐进的；进行式的	The school has a progressive approach to education.	3	4324	3828
deforestation	n.	/diːˌfɔːrɪˈsteɪʃən/	砍伐森林	Deforestation is a serious environmental problem.	2	0	3829
citizenship	n.	/ˈsɪtɪzənʃɪp/	公民的身份,公民的职责和权力	He applied for citizenship in Canada.	2	0	3830
efficiency	n.	/ɪˈfɪʃənsi/	效率；功效，效能	We need to improve our efficiency.	3	4477	3831
accomplish	v./vt.	/əˈkʌmplɪʃ/	实现；达到，完成	She wants to accomplish her goals.	3	4044	3832
subsequent	adj.	/ˈsʌbsɪkwənt/	尔后的；随后的，后来的	The subsequent events were surprising.	3	3833	3833
ultraviolet	adj.	/ˌʌltrəˈvaɪələt/	紫外（线）的；紫外的	Ultraviolet light can damage skin.	2	0	3834
millionaire	n.	/ˌmɪljəˈner/	百分富翁，巨富；百万富翁，大富翁	He became a millionaire at a young age.	2	0	3835
distinctly	adv.	/dɪˈstɪŋktli/	显然，清楚地	I distinctly remember it.	2	0	3836
attendance	n.	/əˈtendəns/	到场；出席人数	Attendance is mandatory.	3	4309	3837
biochemistry	n.	/ˌbaɪ.oʊˈkem.ɪ.stri/	生物化学	She is studying biochemistry at university.	2	0	3838
industrial	adj.	/ɪnˈdʌstriəl/	工业的，产业的	This is an industrial area.	3	4232	3839
equivalent	n./adj.	/ɪˈkwɪvələnt/	等面（体）积的；相等的，等量的；相等物，等价物	One inch is equivalent to 2.54 centimeters.	3	4157	3840
demonstration	n.	/ˌdemənˈstreɪʃən/	展示；游行	The demonstration was peaceful.	2	0	3841
compulsory	adj.	/kəmˈpʌlsəri/	强迫的，义务的；必须做的，强制性的；必修的	Math is a compulsory subject.	2	0	3842
particular	adj.	/pəˈtɪkjʊlər/	特称的；苛求的	I have no particular plans.	3	4532	3843
inferiority	n.	/ɪnˌfɪriˈɔːrəti/	自卑；次等	He has an inferiority complex.	2	0	3844
competition	n.	/ˌkɑːmpəˈtɪʃən/	比赛；竞争	There is a lot of competition in the market.	3	4227	3845
stiffness	n.	/ˈstɪfnəs/	硬度	I feel stiffness in my neck.	2	0	3846
postdoctoral	adj.	/ˌpoʊstˈdɒktərəl/	博士后的	She is doing postdoctoral research.	2	0	3847
discrepancy	n.	/dɪˈskrepənsi/	不符合，不一致	There is a discrepancy in the accounts.	2	0	3848
erosion	n.	/ɪˈroʊʒən/	腐蚀，侵蚀；糜烂；腐蚀，侵蚀，磨损	Soil erosion is a serious problem.	2	0	3849
manufacture	n./v./vt.	/ˌmænjʊˈfæktʃər/	生产，制造；制造，加工；制造，制造业	The company manufactures cars.	3	4018	3850
compartment	n.	/kəmˈpɑːrtmənt/	车厢,隔间；卧车包房，隔间；分隔的空间	The train has a luggage compartment.	2	0	3851
petition	n./v.	/pəˈtɪʃən/	请愿；向…请愿；请愿，正式请求	We signed a petition for change.	2	0	3852
symmetrical	adj.	/sɪˈmetrɪkl/	对称的，匀称的	The butterfly's wings are symmetrical.	2	0	3853
fitness	n.	/ˈfɪtnəs/	适当，恰当；健康	Regular exercise improves your fitness.	3	4180	3854
incorporate	v./vt.	/ɪnˈkɔːrpəreɪt/	合并；体现；结合，合并，收编	We will incorporate your suggestions.	2	0	3855
collaboration	n.	/kəˌlæbəˈreɪʃən/	合作，协作；勾结	The project requires collaboration between teams.	2	0	3856
intervention	n.	/ˌɪntərˈvenʃən/	干涉	Early intervention is important.	3	4379	3857
incidentally	adv.	/ˌɪnsɪˈdentəli/	顺便地，附带；附带地；顺便提及	Incidentally, I saw your brother yesterday.	2	0	3858
presumably	adv.	/prɪˈzuːməbli/	推测起来，大概；大概，可能，据推测	Presumably, he is at home.	3	4006	3859
assignment	n.	/əˈsaɪnmənt/	任务；指定的作业；分配，指派	I have a lot of homework assignments.	3	3886	3860
creation	n.	/kriˈeɪʃən/	创造，创建；创造的作品，产物；宇宙，天地万物	The creation of the universe is a mystery.	2	0	3861
elevation	n.	/ˌelɪˈveɪʃən/	高度，海拔	The city's elevation is 1000 meters.	2	0	3862
stationary	adj.	/ˈsteɪʃənəri/	固定的，静止不动的	The car was stationary at the red light.	2	0	3863
