id	title	hint	layers	note
stairs	三级阶梯	西高东低	第一阶梯|第二阶梯|第三阶梯	西高东低，三级往东落。一阶青藏，二阶黄土云贵，三阶才是东部平原。
monsoon	季风示意	海陆热力	夏季风|冬季风|雨带	夏风从海上来，冬风从陆地走。雨带跟着夏季风往北推。
water	水循环	海气陆联	蒸发|降水|径流	海上蒸发上天，落下成雨，再沿地面流回海里。
earth	地球圈层	外薄内实	地壳|地幔|外核|内核	外层薄地壳，中间厚地幔，再往里是液态外核和固态内核。
atmo	大气分层	天气在下	对流层|平流层|中间层|热层	天气都发生在对流层。往上越来越稀，平流层里飞民航。
current	洋流环流	西暖东寒	暖流|寒流|赤道流	北半球大洋环流多顺时针。大洋西岸偏暖，东岸偏寒。
plate	板块挤压	对挤成山	板块甲|板块乙|褶皱山	两块往中间挤，中间被拱起来，就成了褶皱山。
rivers	江河走向	折线示意	长江|黄河|源地	两条都从西部高地出发。黄河先向北绕一弯，长江更靠南入海。
tilt	黄赤交角	地轴是斜的	赤道|黄道|昼半球	地轴斜着约二十三度半。斜着转，才有昼夜长短和四季。
landuse	土地利用	圈层向外	商业区|住宅区|农田	城里中间是商业，外面一圈套住宅，再远才是农田。
front	冷暖锋面	软硬相遇	冷气团|暖气团|锋面	冷气团硬，暖气团软。相遇的那条线就是锋，常带来降水。
belts	气压风带	热升冷降	赤道低压|副热带高压|西风带	赤道热空气上升成低压。两边落下成副高。中纬西风从副高吹向副极地。
